"Coropnaam","statcode","Bruto gewicht geladen"
"Oost-Groningen","CR01","6"
"Delfzijlenomgeving","CR02","11"
"OverigGroningen","CR03","13"
"Noord-Friesland","CR04","15"
"Zuidwest-Friesland","CR05","7"
"Zuidoost-Friesland","CR06","9"
"Noord-Drenthe","CR07","9"
"Zuidoost-Drenthe","CR08","10"
"Zuidwest-Drenthe","CR09","8"
"Noord-Overijssel","CR10","23"
"Zuidwest-Overijssel","CR11","7"
"Twente","CR12","22"
"Veluwe","CR13","26"
"Achterhoek","CR14","18"
"Arnhem/Nijmegen","CR15","29"
"Zuidwest-Gelderland","CR16","21"
"Utrecht","CR17","33"
"KopvanNoord-Holland","CR18","13"
"Alkmaarenomgeving","CR19","4"
"IJmond","CR20","11"
"AgglomeratieHaarlem","CR21","1"
"Zaanstreek","CR22","7"
"Groot-Amsterdam","CR23","97"
"HetGooienVechtstreek","CR24","2"
"AgglomeratieLeidenenBollenstreek","CR25","10"
"Agglomeratie's-Gravenhage","CR26","7"
"DelftenWestland","CR27","12"
"Oost-Zuid-Holland","CR28","14"
"Groot-Rijnmond","CR29","334"
"Zuidoost-Zuid-Holland","CR30","18"
"Zeeuwsch-Vlaanderen","CR31","21"
"OverigZeeland","CR32","38"
"West-Noord-Brabant","CR33","49"
"Midden-Noord-Brabant","CR34","20"
"Noordoost-Noord-Brabant","CR35","38"
"Zuidoost-Noord-Brabant","CR36","31"
"Noord-Limburg","CR37","32"
"Midden-Limburg","CR38","15"
"Zuid-Limburg","CR39","30"
"Flevoland","CR40","24"